date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:25	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269249941-239b%22	https://themewagon.github.io/robots.txt		(from )
14:04:26	27229/27229	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-6a5d%22	https://themewagon.github.io/carbook/	D:/Datvexe/themewagon.github.io/carbook/index.html	(from )
14:04:26	9467/9467	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-24fb%22	https://themewagon.github.io/carbook/css/open-iconic-bootstrap.min.css	D:/Datvexe/themewagon.github.io/carbook/css/open-iconic-bootstrap.min.css	(from https://themewagon.github.io/carbook/)
14:04:26	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-11fa9%22	https://themewagon.github.io/carbook/css/animate.css	D:/Datvexe/themewagon.github.io/carbook/css/animate.css	(from https://themewagon.github.io/carbook/)
14:04:26	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-d70%22	https://themewagon.github.io/carbook/css/owl.carousel.min.css	D:/Datvexe/themewagon.github.io/carbook/css/owl.carousel.min.css	(from https://themewagon.github.io/carbook/)
14:04:27	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-3c5%22	https://themewagon.github.io/carbook/css/owl.theme.default.min.css	D:/Datvexe/themewagon.github.io/carbook/css/owl.theme.default.min.css	(from https://themewagon.github.io/carbook/)
14:04:27	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-1b26%22	https://themewagon.github.io/carbook/css/magnific-popup.css	D:/Datvexe/themewagon.github.io/carbook/css/magnific-popup.css	(from https://themewagon.github.io/carbook/)
14:04:27	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-657f%22	https://themewagon.github.io/carbook/css/aos.css	D:/Datvexe/themewagon.github.io/carbook/css/aos.css	(from https://themewagon.github.io/carbook/)
14:04:27	46816/46816	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-b6e0%22	https://themewagon.github.io/carbook/css/ionicons.min.css	D:/Datvexe/themewagon.github.io/carbook/css/ionicons.min.css	(from https://themewagon.github.io/carbook/)
14:04:28	17945/17945	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-4619%22	https://themewagon.github.io/carbook/css/bootstrap-datepicker.css	D:/Datvexe/themewagon.github.io/carbook/css/bootstrap-datepicker.css	(from https://themewagon.github.io/carbook/)
14:04:28	1588/1588	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-634%22	https://themewagon.github.io/carbook/css/jquery.timepicker.css	D:/Datvexe/themewagon.github.io/carbook/css/jquery.timepicker.css	(from https://themewagon.github.io/carbook/)
14:04:28	1643/1643	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-66b%22	https://themewagon.github.io/carbook/css/flaticon.css	D:/Datvexe/themewagon.github.io/carbook/css/flaticon.css	(from https://themewagon.github.io/carbook/)
14:04:28	79875/79875	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-13803%22	https://themewagon.github.io/carbook/css/icomoon.css	D:/Datvexe/themewagon.github.io/carbook/css/icomoon.css	(from https://themewagon.github.io/carbook/)
14:04:29	268495/268495	---M-Z	200	added ('OK')	text/css	etag:W/%22639eb58f-418cf%22	https://themewagon.github.io/carbook/css/style.css	D:/Datvexe/themewagon.github.io/carbook/css/style.css	(from https://themewagon.github.io/carbook/)
14:04:29	27229/27229	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-6a5d%22	https://themewagon.github.io/carbook/index.html	D:/Datvexe/themewagon.github.io/carbook/index-2.html	(from https://themewagon.github.io/carbook/)
14:04:29	14778/14778	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-39ba%22	https://themewagon.github.io/carbook/about.html	D:/Datvexe/themewagon.github.io/carbook/about.html	(from https://themewagon.github.io/carbook/)
14:04:30	10422/10422	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-28b6%22	https://themewagon.github.io/carbook/services.html	D:/Datvexe/themewagon.github.io/carbook/services.html	(from https://themewagon.github.io/carbook/)
14:04:30	20022/20022	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-4e36%22	https://themewagon.github.io/carbook/pricing.html	D:/Datvexe/themewagon.github.io/carbook/pricing.html	(from https://themewagon.github.io/carbook/)
14:04:31	16682/16682	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-412a%22	https://themewagon.github.io/carbook/car.html	D:/Datvexe/themewagon.github.io/carbook/car.html	(from https://themewagon.github.io/carbook/)
14:04:31	14756/14756	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-39a4%22	https://themewagon.github.io/carbook/blog.html	D:/Datvexe/themewagon.github.io/carbook/blog.html	(from https://themewagon.github.io/carbook/)
14:04:31	10024/10024	---M-Z	200	added ('OK')	text/html	etag:W/%22639eb58f-2728%22	https://themewagon.github.io/carbook/contact.html	D:/Datvexe/themewagon.github.io/carbook/contact.html	(from https://themewagon.github.io/carbook/)
14:04:32	235555/235555	---M--	200	added ('OK')	image/jpeg	etag:%22639eb58f-39823%22	https://themewagon.github.io/carbook/images/car-1.jpg	D:/Datvexe/themewagon.github.io/carbook/images/car-1.jpg	(from https://themewagon.github.io/carbook/)
14:04:33	449965/449965	---M--	200	added ('OK')	image/jpeg	etag:%22639eb58f-6ddad%22	https://themewagon.github.io/carbook/images/bg_1.jpg	D:/Datvexe/themewagon.github.io/carbook/images/bg_1.jpg	(from https://themewagon.github.io/carbook/)
